,IP,Time,URL,Status,month,day,Methods,URL_new
14849,10.130.2.1,20/Feb/2018,GET /img/ruet.png HTTP/1.1,200,Feb,20,GET ,img
14850,10.128.2.1,20/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,20,GET ,css
14851,10.128.2.1,20/Feb/2018,GET /fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1,200,Feb,20,GET ,fonts
14852,10.130.2.1,20/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,20,GET ,robots.txt HTTP
14853,10.130.2.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14854,10.130.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14855,10.128.2.1,21/Feb/2018,GET / HTTP/1.1,302,Feb,21,GET , HTTP
14856,10.130.2.1,21/Feb/2018,GET /login.php HTTP/1.1,200,Feb,21,GET ,login.php HTTP
14857,10.130.2.1,21/Feb/2018,POST /process.php HTTP/1.1,302,Feb,21,POST ,process.php HTTP
14858,10.130.2.1,21/Feb/2018,GET /home.php HTTP/1.1,200,Feb,21,GET ,home.php HTTP
